starttime	seconds	ctime	dtime	ttime	wait
Tue May 24 17:35:39 2016	1464111339	37	55	92	55
Tue May 24 17:35:04 2016	1464111304	37	55	92	55
Tue May 24 17:35:21 2016	1464111321	37	56	92	55
Tue May 24 17:35:06 2016	1464111306	37	56	92	55
Tue May 24 17:35:24 2016	1464111324	37	55	92	55
Tue May 24 17:34:19 2016	1464111259	37	56	93	56
Tue May 24 17:35:04 2016	1464111304	37	56	93	56
Tue May 24 17:35:04 2016	1464111304	37	56	93	56
Tue May 24 17:35:38 2016	1464111338	37	56	93	56
Tue May 24 17:35:28 2016	1464111328	37	56	93	56
Tue May 24 17:35:05 2016	1464111305	37	56	93	56
Tue May 24 17:35:30 2016	1464111330	37	56	93	56
Tue May 24 17:35:37 2016	1464111337	37	56	93	56
Tue May 24 17:35:38 2016	1464111338	37	56	93	56
Tue May 24 17:35:06 2016	1464111306	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:35:07 2016	1464111307	37	56	93	56
Tue May 24 17:35:19 2016	1464111319	37	56	93	56
Tue May 24 17:35:05 2016	1464111305	37	56	93	56
Tue May 24 17:35:24 2016	1464111324	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:34:12 2016	1464111252	37	56	93	56
Tue May 24 17:35:39 2016	1464111339	37	56	93	56
Tue May 24 17:35:02 2016	1464111302	37	56	93	56
Tue May 24 17:34:20 2016	1464111260	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:34:26 2016	1464111266	37	56	93	56
Tue May 24 17:35:15 2016	1464111315	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:35:24 2016	1464111324	37	56	93	56
Tue May 24 17:35:30 2016	1464111330	37	56	93	56
Tue May 24 17:35:16 2016	1464111316	37	57	93	56
Tue May 24 17:36:18 2016	1464111378	37	56	93	56
Tue May 24 17:35:25 2016	1464111325	37	56	93	56
Tue May 24 17:34:07 2016	1464111247	37	56	93	56
Tue May 24 17:35:39 2016	1464111339	37	56	93	56
Tue May 24 17:35:18 2016	1464111318	37	56	93	56
Tue May 24 17:34:23 2016	1464111263	37	56	93	56
Tue May 24 17:35:05 2016	1464111305	37	56	93	56
Tue May 24 17:34:17 2016	1464111257	37	56	93	56
Tue May 24 17:35:30 2016	1464111330	37	57	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:34:14 2016	1464111254	37	56	93	56
Tue May 24 17:34:10 2016	1464111250	37	56	93	56
Tue May 24 17:35:16 2016	1464111316	37	56	93	56
Tue May 24 17:36:03 2016	1464111363	37	56	93	56
Tue May 24 17:36:24 2016	1464111384	37	56	93	56
Tue May 24 17:34:15 2016	1464111255	37	57	93	57
Tue May 24 17:36:31 2016	1464111391	37	56	93	56
Tue May 24 17:35:03 2016	1464111303	37	56	93	56
Tue May 24 17:35:07 2016	1464111307	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	57	93	57
Tue May 24 17:34:24 2016	1464111264	37	56	93	56
Tue May 24 17:35:23 2016	1464111323	37	56	93	56
Tue May 24 17:35:24 2016	1464111324	37	57	93	56
Tue May 24 17:34:26 2016	1464111266	37	56	93	56
Tue May 24 17:35:02 2016	1464111302	37	56	93	56
Tue May 24 17:35:06 2016	1464111306	37	56	93	56
Tue May 24 17:35:22 2016	1464111322	37	57	93	57
Tue May 24 17:35:26 2016	1464111326	37	57	93	57
Tue May 24 17:35:02 2016	1464111302	37	56	93	56
Tue May 24 17:35:04 2016	1464111304	37	56	93	56
Tue May 24 17:34:07 2016	1464111247	37	56	93	56
Tue May 24 17:34:17 2016	1464111257	37	56	93	56
Tue May 24 17:35:18 2016	1464111318	37	56	93	56
Tue May 24 17:36:03 2016	1464111363	37	57	93	57
Tue May 24 17:35:24 2016	1464111324	37	56	93	56
Tue May 24 17:34:16 2016	1464111256	37	56	93	56
Tue May 24 17:35:31 2016	1464111331	37	57	93	56
Tue May 24 17:35:39 2016	1464111339	37	56	93	56
Tue May 24 17:34:18 2016	1464111258	37	57	93	57
Tue May 24 17:34:22 2016	1464111262	37	56	93	56
Tue May 24 17:35:17 2016	1464111317	37	57	93	57
Tue May 24 17:35:05 2016	1464111305	37	57	93	56
Tue May 24 17:35:20 2016	1464111320	37	57	93	57
Tue May 24 17:35:21 2016	1464111321	37	57	93	56
Tue May 24 17:35:26 2016	1464111326	37	56	93	56
Tue May 24 17:35:21 2016	1464111321	37	56	93	56
Tue May 24 17:34:25 2016	1464111265	37	56	93	56
Tue May 24 17:35:02 2016	1464111302	37	56	93	56
Tue May 24 17:35:26 2016	1464111326	37	57	93	56
Tue May 24 17:34:16 2016	1464111256	37	56	93	56
Tue May 24 17:36:18 2016	1464111378	37	57	93	57
Tue May 24 17:36:30 2016	1464111390	37	57	93	56
Tue May 24 17:35:22 2016	1464111322	37	57	93	57
Tue May 24 17:34:07 2016	1464111247	37	57	93	56
Tue May 24 17:35:38 2016	1464111338	37	57	93	56
Tue May 24 17:35:23 2016	1464111323	37	57	93	57
Tue May 24 17:35:03 2016	1464111303	37	56	93	56
Tue May 24 17:35:30 2016	1464111330	37	57	94	56
Tue May 24 17:35:03 2016	1464111303	37	57	94	57
Tue May 24 17:35:02 2016	1464111302	37	57	94	56
Tue May 24 17:34:11 2016	1464111251	37	57	94	57
Tue May 24 17:34:21 2016	1464111261	37	56	94	56
Tue May 24 17:35:39 2016	1464111339	37	56	94	56
Tue May 24 17:34:19 2016	1464111259	37	57	94	57
Tue May 24 17:35:18 2016	1464111318	37	57	94	57
Tue May 24 17:35:22 2016	1464111322	37	57	94	57
Tue May 24 17:34:11 2016	1464111251	37	57	94	57
Tue May 24 17:35:39 2016	1464111339	37	57	94	56
Tue May 24 17:35:24 2016	1464111324	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:34:12 2016	1464111252	37	56	94	56
Tue May 24 17:35:16 2016	1464111316	37	57	94	57
Tue May 24 17:34:22 2016	1464111262	37	57	94	57
Tue May 24 17:35:38 2016	1464111338	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:35:04 2016	1464111304	37	57	94	57
Tue May 24 17:35:04 2016	1464111304	37	57	94	57
Tue May 24 17:34:24 2016	1464111264	37	56	94	56
Tue May 24 17:35:16 2016	1464111316	37	57	94	57
Tue May 24 17:35:04 2016	1464111304	37	57	94	57
Tue May 24 17:34:23 2016	1464111263	37	57	94	57
Tue May 24 17:34:19 2016	1464111259	37	57	94	57
Tue May 24 17:34:15 2016	1464111255	37	57	94	57
Tue May 24 17:35:39 2016	1464111339	37	57	94	57
Tue May 24 17:35:30 2016	1464111330	37	57	94	57
Tue May 24 17:34:20 2016	1464111260	37	57	94	57
Tue May 24 17:35:28 2016	1464111328	37	57	94	57
Tue May 24 17:34:14 2016	1464111254	37	57	94	57
Tue May 24 17:34:18 2016	1464111258	37	57	94	56
Tue May 24 17:36:03 2016	1464111363	37	57	94	57
Tue May 24 17:36:17 2016	1464111377	37	57	94	57
Tue May 24 17:34:18 2016	1464111258	37	56	94	56
Tue May 24 17:34:05 2016	1464111245	37	57	94	56
Tue May 24 17:34:25 2016	1464111265	37	57	94	57
Tue May 24 17:34:12 2016	1464111252	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	57	94	56
Tue May 24 17:34:18 2016	1464111258	37	57	94	57
Tue May 24 17:35:29 2016	1464111329	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	57	94	57
Tue May 24 17:35:19 2016	1464111319	37	56	94	56
Tue May 24 17:35:02 2016	1464111302	37	57	94	57
Tue May 24 17:34:25 2016	1464111265	37	57	94	57
Tue May 24 17:35:06 2016	1464111306	37	57	94	57
Tue May 24 17:34:15 2016	1464111255	37	57	94	57
Tue May 24 17:35:04 2016	1464111304	37	57	94	57
Tue May 24 17:35:22 2016	1464111322	37	57	94	57
Tue May 24 17:35:38 2016	1464111338	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	57	94	57
Tue May 24 17:35:28 2016	1464111328	37	57	94	57
Tue May 24 17:35:25 2016	1464111325	37	57	94	57
Tue May 24 17:34:24 2016	1464111264	37	56	94	56
Tue May 24 17:34:19 2016	1464111259	37	57	94	57
Tue May 24 17:34:20 2016	1464111260	37	57	94	56
Tue May 24 17:35:05 2016	1464111305	37	57	94	57
Tue May 24 17:35:39 2016	1464111339	37	57	94	57
Tue May 24 17:35:25 2016	1464111325	37	57	94	57
Tue May 24 17:35:25 2016	1464111325	37	56	94	56
Tue May 24 17:35:22 2016	1464111322	37	57	94	57
Tue May 24 17:35:18 2016	1464111318	37	57	94	57
Tue May 24 17:34:23 2016	1464111263	37	57	94	57
Tue May 24 17:35:29 2016	1464111329	37	57	94	57
Tue May 24 17:35:38 2016	1464111338	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:34:21 2016	1464111261	37	57	94	57
Tue May 24 17:35:39 2016	1464111339	37	57	94	57
Tue May 24 17:34:26 2016	1464111266	37	57	94	57
Tue May 24 17:35:19 2016	1464111319	37	57	94	57
Tue May 24 17:35:05 2016	1464111305	37	57	94	57
Tue May 24 17:34:23 2016	1464111263	37	57	94	57
Tue May 24 17:35:37 2016	1464111337	37	57	94	57
Tue May 24 17:34:23 2016	1464111263	37	57	94	57
Tue May 24 17:35:02 2016	1464111302	37	57	94	57
Tue May 24 17:34:17 2016	1464111257	37	57	94	56
Tue May 24 17:35:21 2016	1464111321	37	57	94	56
Tue May 24 17:34:25 2016	1464111265	37	57	94	57
Tue May 24 17:35:02 2016	1464111302	37	57	94	57
Tue May 24 17:34:22 2016	1464111262	37	57	94	57
Tue May 24 17:35:31 2016	1464111331	37	57	94	57
Tue May 24 17:35:23 2016	1464111323	37	57	94	57
Tue May 24 17:35:25 2016	1464111325	37	57	94	57
Tue May 24 17:35:20 2016	1464111320	37	57	94	57
Tue May 24 17:34:12 2016	1464111252	37	57	94	57
Tue May 24 17:35:04 2016	1464111304	37	57	94	57
Tue May 24 17:35:15 2016	1464111315	37	57	94	57
Tue May 24 17:36:17 2016	1464111377	37	57	94	57
Tue May 24 17:34:15 2016	1464111255	37	57	94	57
Tue May 24 17:35:24 2016	1464111324	37	57	94	57
Tue May 24 17:34:22 2016	1464111262	37	57	94	57
Tue May 24 17:34:06 2016	1464111246	37	57	94	57
Tue May 24 17:34:09 2016	1464111249	37	57	94	57
Tue May 24 17:34:16 2016	1464111256	37	57	94	57
Tue May 24 17:35:28 2016	1464111328	37	57	94	57
Tue May 24 17:35:37 2016	1464111337	37	57	94	57
Tue May 24 17:35:05 2016	1464111305	37	57	94	57
Tue May 24 17:34:17 2016	1464111257	37	57	94	57
Tue May 24 17:34:18 2016	1464111258	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	57
Tue May 24 17:34:23 2016	1464111263	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	57	94	57
Tue May 24 17:36:17 2016	1464111377	37	57	94	57
Tue May 24 17:34:06 2016	1464111246	37	57	94	57
Tue May 24 17:35:23 2016	1464111323	37	57	94	57
Tue May 24 17:34:20 2016	1464111260	37	57	94	57
Tue May 24 17:35:03 2016	1464111303	37	57	94	57
Tue May 24 17:35:18 2016	1464111318	37	57	94	57
Tue May 24 17:35:06 2016	1464111306	37	57	94	57
Tue May 24 17:35:38 2016	1464111338	37	57	94	57
Tue May 24 17:36:17 2016	1464111377	37	57	94	57
Tue May 24 17:34:24 2016	1464111264	37	57	94	57
Tue May 24 17:34:18 2016	1464111258	37	57	94	57
Tue May 24 17:35:20 2016	1464111320	37	57	94	57
Tue May 24 17:35:19 2016	1464111319	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:34:09 2016	1464111249	37	57	94	57
Tue May 24 17:34:11 2016	1464111251	37	57	94	57
Tue May 24 17:34:09 2016	1464111249	37	57	94	57
Tue May 24 17:34:09 2016	1464111249	37	57	94	57
Tue May 24 17:35:23 2016	1464111323	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	57
Tue May 24 17:35:20 2016	1464111320	37	57	94	57
Tue May 24 17:35:31 2016	1464111331	37	57	94	57
Tue May 24 17:35:17 2016	1464111317	37	57	94	57
Tue May 24 17:35:23 2016	1464111323	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	56
Tue May 24 17:35:16 2016	1464111316	37	57	94	57
Tue May 24 17:35:05 2016	1464111305	37	57	94	57
Tue May 24 17:35:17 2016	1464111317	37	57	94	57
Tue May 24 17:35:19 2016	1464111319	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:35:21 2016	1464111321	37	58	94	58
Tue May 24 17:34:16 2016	1464111256	37	57	94	57
Tue May 24 17:34:27 2016	1464111267	37	57	94	57
Tue May 24 17:35:23 2016	1464111323	37	57	94	57
Tue May 24 17:34:17 2016	1464111257	37	57	94	57
Tue May 24 17:34:21 2016	1464111261	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	57
Tue May 24 17:34:24 2016	1464111264	37	57	94	57
Tue May 24 17:34:17 2016	1464111257	37	57	94	57
Tue May 24 17:34:11 2016	1464111251	37	57	94	57
Tue May 24 17:34:26 2016	1464111266	37	58	94	58
Tue May 24 17:34:21 2016	1464111261	37	57	94	57
Tue May 24 17:35:24 2016	1464111324	37	57	94	57
Tue May 24 17:35:15 2016	1464111315	37	57	94	57
Tue May 24 17:35:38 2016	1464111338	37	57	94	57
Tue May 24 17:34:21 2016	1464111261	37	57	94	57
Tue May 24 17:35:18 2016	1464111318	37	57	94	57
Tue May 24 17:36:03 2016	1464111363	37	57	94	57
Tue May 24 17:35:21 2016	1464111321	37	58	94	57
Tue May 24 17:34:16 2016	1464111256	37	57	94	57
Tue May 24 17:34:17 2016	1464111257	37	58	94	57
Tue May 24 17:35:17 2016	1464111317	37	58	94	57
Tue May 24 17:34:05 2016	1464111245	37	57	94	56
Tue May 24 17:35:27 2016	1464111327	37	57	94	57
Tue May 24 17:34:13 2016	1464111253	37	57	94	57
Tue May 24 17:35:07 2016	1464111307	37	57	94	57
Tue May 24 17:35:29 2016	1464111329	37	58	94	58
Tue May 24 17:34:22 2016	1464111262	37	57	94	57
Tue May 24 17:35:27 2016	1464111327	37	58	94	57
Tue May 24 17:35:25 2016	1464111325	37	57	94	57
Tue May 24 17:35:28 2016	1464111328	37	57	94	57
Tue May 24 17:34:14 2016	1464111254	37	57	94	57
Tue May 24 17:35:28 2016	1464111328	37	57	94	57
Tue May 24 17:34:10 2016	1464111250	37	57	94	57
Tue May 24 17:35:02 2016	1464111302	37	57	94	57
Tue May 24 17:34:20 2016	1464111260	37	57	94	57
Tue May 24 17:35:21 2016	1464111321	37	58	94	58
Tue May 24 17:35:29 2016	1464111329	37	57	94	57
Tue May 24 17:34:08 2016	1464111248	37	57	94	57
Tue May 24 17:34:06 2016	1464111246	37	58	94	57
Tue May 24 17:34:09 2016	1464111249	37	58	94	57
Tue May 24 17:34:10 2016	1464111250	37	57	94	57
Tue May 24 17:34:14 2016	1464111254	37	57	94	57
Tue May 24 17:34:07 2016	1464111247	37	58	94	57
